Bill,Start,End,Days,Charges,VAT(9%),Total
Bill_210484319.pdf,01/12/2022,27/01/2023,58,247.10,22.24,269.34
Bill_310473140.pdf,30/03/2023,30/05/2023,62,523.86,47.15,571.01
